"filename", "language", "HTML", "JavaScript", "PostCSS", "XML", "JSON", "comment", "blank", "total"
"c:\Users\samue\OneDrive\Desktop\co-op web app\app.js", "JavaScript", 0, 323, 0, 0, 0, 23, 60, 406
"c:\Users\samue\OneDrive\Desktop\co-op web app\package-lock.json", "JSON", 0, 0, 0, 0, 3149, 0, 1, 3150
"c:\Users\samue\OneDrive\Desktop\co-op web app\package.json", "JSON", 0, 0, 0, 0, 34, 0, 1, 35
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\book_animation.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\book_animation_cropped.json", "JSON", 0, 0, 0, 0, 17643, 0, 0, 17643
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\game_book_image.svg", "XML", 0, 0, 0, 221, 0, 1, 1, 223
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\icons\hourglass-svgrepo-com.svg", "XML", 0, 0, 0, 45, 0, 1, 0, 46
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\logo_wordrops_bimi.svg", "XML", 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\logo_wordrops_classic.svg", "XML", 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\logo_wordrops_classic_blue.svg", "XML", 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\images\new-book-anime.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\chapter.js", "JavaScript", 0, 27, 0, 0, 0, 1, 8, 36
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\checkAuth.js", "JavaScript", 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\checkGame.js", "JavaScript", 0, 739, 0, 0, 0, 55, 142, 936
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\checkGameDashboard.js", "JavaScript", 0, 281, 0, 0, 0, 17, 43, 341
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\completeProfile.js", "JavaScript", 0, 148, 0, 0, 0, 10, 28, 186
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\homepage.js", "JavaScript", 0, 98, 0, 0, 0, 8, 23, 129
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\login.js", "JavaScript", 0, 106, 0, 0, 0, 3, 13, 122
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\main.js", "JavaScript", 0, 692, 0, 0, 0, 50, 122, 864
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\menu.js", "JavaScript", 0, 109, 0, 0, 0, 4, 16, 129
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\personalLibrary.js", "JavaScript", 0, 121, 0, 0, 0, 12, 23, 156
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\js\userProfile.js", "JavaScript", 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\socket.io\socket.io.js", "JavaScript", 0, 3419, 0, 0, 0, 1384, 106, 4909
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\style\input.css", "PostCSS", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\style\output.css", "PostCSS", 0, 0, 2916, 0, 0, 1, 1, 2918
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\style\style.css", "PostCSS", 0, 0, 293, 0, 0, 1, 88, 382
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\swiper\swiper-bundle.min.css", "PostCSS", 0, 0, 1, 0, 0, 11, 1, 13
"c:\Users\samue\OneDrive\Desktop\co-op web app\public\swiper\swiper-bundle.min.js", "JavaScript", 0, 1, 0, 0, 0, 12, 1, 14
"c:\Users\samue\OneDrive\Desktop\co-op web app\sitemap.xml", "XML", 0, 0, 0, 17, 0, 1, 0, 18
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\database\db.js", "JavaScript", 0, 37, 0, 0, 0, 2, 8, 47
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\middlewares\checkAuthToken.js", "JavaScript", 0, 77, 0, 0, 0, 0, 13, 90
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\middlewares\checkUserStatus.js", "JavaScript", 0, 22, 0, 0, 0, 4, 6, 32
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\checkUserGameStatus.js", "JavaScript", 0, 24, 0, 0, 0, 0, 7, 31
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\createProfileCheckUsername.js", "JavaScript", 0, 26, 0, 0, 0, 0, 6, 32
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\dashboardRoutes.js", "JavaScript", 0, 42, 0, 0, 0, 0, 4, 46
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\deleteAccount.js", "JavaScript", 0, 37, 0, 0, 0, 0, 11, 48
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\finishOnboarding.js", "JavaScript", 0, 62, 0, 0, 0, 2, 12, 76
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\gameData.js", "JavaScript", 0, 33, 0, 0, 0, 1, 9, 43
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\gameRoute.js", "JavaScript", 0, 45, 0, 0, 0, 2, 6, 53
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\gameRouteData.js", "JavaScript", 0, 19, 0, 0, 0, 1, 4, 24
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\gameStatus.js", "JavaScript", 0, 16, 0, 0, 0, 1, 4, 21
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\gamesData.js", "JavaScript", 0, 47, 0, 0, 0, 0, 10, 57
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\getChapters.js", "JavaScript", 0, 10, 0, 0, 0, 1, 4, 15
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\getPersonalLibrary.js", "JavaScript", 0, 26, 0, 0, 0, 2, 5, 33
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\googleLogin.js", "JavaScript", 0, 99, 0, 0, 0, 7, 20, 126
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\loginRoutes.js", "JavaScript", 0, 62, 0, 0, 0, 1, 14, 77
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\logout.js", "JavaScript", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\playerReady.js", "JavaScript", 0, 23, 0, 0, 0, 3, 8, 34
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\playersQueue.js", "JavaScript", 0, 21, 0, 0, 0, 0, 6, 27
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\queueRoutesNew.js", "JavaScript", 0, 134, 0, 0, 0, 4, 31, 169
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\registerRoutes.js", "JavaScript", 0, 54, 0, 0, 0, 5, 10, 69
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\saveChapterChangeTurn.js", "JavaScript", 0, 102, 0, 0, 0, 2, 24, 128
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\saveScores.js", "JavaScript", 0, 44, 0, 0, 0, 2, 9, 55
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\searchUser.js", "JavaScript", 0, 24, 0, 0, 0, 2, 8, 34
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\storyDetails.js", "JavaScript", 0, 36, 0, 0, 0, 6, 10, 52
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\userData.js", "JavaScript", 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\usersProfileData.js", "JavaScript", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\usersProfileRoute.js", "JavaScript", 0, 14, 0, 0, 0, 1, 8, 23
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\verifyEmail.js", "JavaScript", 0, 32, 0, 0, 0, 3, 8, 43
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\verifyLogIn.js", "JavaScript", 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\routes\waitingList.js", "JavaScript", 0, 41, 0, 0, 0, 4, 7, 52
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\calculateAndAssignRatings.js", "JavaScript", 0, 23, 0, 0, 0, 1, 4, 28
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\cancelGame.js", "JavaScript", 0, 67, 0, 0, 0, 4, 13, 84
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\gameCountdownStart.js", "JavaScript", 0, 129, 0, 0, 0, 0, 29, 158
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\gameManager.js", "JavaScript", 0, 84, 0, 0, 0, 1, 14, 99
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\saveGame.js", "JavaScript", 0, 87, 0, 0, 0, 3, 12, 102
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\socketManager.js", "JavaScript", 0, 25, 0, 0, 0, 0, 7, 32
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\updateAvatar.js", "JavaScript", 0, 46, 0, 0, 0, 0, 11, 57
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\services\userService.js", "JavaScript", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\utils\authUtility.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\utils\chapterRatingsValidator.js", "JavaScript", 0, 95, 0, 0, 0, 1, 12, 108
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\utils\refreshAccessToken.js", "JavaScript", 0, 18, 0, 0, 0, 0, 4, 22
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\utils\registration-email.js", "JavaScript", 0, 56, 0, 0, 0, 8, 12, 76
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\utils\removeGameFromPlayers.js", "JavaScript", 0, 29, 0, 0, 0, 0, 8, 37
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\utils\textGeneratorAi.js", "JavaScript", 0, 189, 0, 0, 0, 1, 34, 224
"c:\Users\samue\OneDrive\Desktop\co-op web app\src\utils\waitingListEmail.js", "JavaScript", 0, 53, 0, 0, 0, 6, 8, 67
"c:\Users\samue\OneDrive\Desktop\co-op web app\tailwind.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\classifiche.html", "HTML", 71, 0, 0, 0, 0, 5, 5, 81
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\completa-profilo.html", "HTML", 220, 0, 0, 0, 0, 4, 7, 231
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\dashboard.html", "HTML", 1155, 0, 0, 0, 0, 33, 54, 1242
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\game.html", "HTML", 344, 0, 0, 0, 0, 14, 13, 371
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\homepage.html", "HTML", 830, 0, 0, 0, 0, 19, 20, 869
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\privacy-policy.html", "HTML", 234, 0, 0, 0, 0, 3, 10, 247
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\profile.html", "HTML", 100, 0, 0, 0, 0, 0, 1, 101
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\prova.html", "HTML", 182, 0, 0, 0, 0, 5, 4, 191
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\register01.html", "HTML", 169, 0, 0, 0, 0, 4, 6, 179
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\storie-community.html", "HTML", 125, 0, 0, 0, 0, 4, 6, 135
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\termini-e-condizioni.html", "HTML", 208, 0, 0, 0, 0, 3, 11, 222
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\verify-email-error.html", "HTML", 32, 0, 0, 0, 0, 0, 1, 33
"c:\Users\samue\OneDrive\Desktop\co-op web app\views\verify-email-success.html", "HTML", 32, 0, 0, 0, 0, 0, 1, 33
"Total", "-", 3702, 8346, 3211, 320, 20828, 1770, 1295, 39472